"Date","Region","Place","Trigger","Trigger..additional.info","Weak.Layer","Depth","Width","Vertical","Aspect","Elevation","Coordinates","Caught","Carried","Buried...Partly","Buried...Fully","Injured","Killed"
"2013-01-31","Skyline","Big Drift/Skyline Summit","Natural","","Facets","18""","150'","150'","Northeast","9,800'","39.601588000000, -111.306953000000",NA,NA,NA,NA,NA,NA
"2013-01-31","Skyline","Wedding Ring Ridge","Natural","","Facets","18""","250'","200'","Northeast","9,800'","39.606217000000, -111.288929000000",NA,NA,NA,NA,NA,NA
"2013-01-30","Skyline","Pleasant Creek","Natural","Cornice Triggered","Density Change","2'","175'","800'","East","10,200'","39.510994000000, -111.320171000000",NA,NA,NA,NA,NA,NA
"2013-02-01","Skyline","Lake Canyon","Snowmobiler","","","","","","East","","",NA,NA,NA,NA,NA,NA
"2013-02-01","Ogden","Weber Canyon","Natural","","Ground Interface","12""","40'","1,000'","North","5,800'","41.133514000000, -111.886868000000",NA,NA,NA,NA,NA,NA
"2013-02-01","Provo","Dry Fork","Snowmobiler","","","2.5'","200'","","East","10,200'","",NA,NA,NA,NA,NA,NA
"2013-02-01","Ogden","Whiskey Hill","Snowmobiler","Unintentionally Triggered","Facets","4'","400'","250'","Southeast","8,700'","",1,1,NA,1,NA,NA
"2013-02-02","Provo","Box Elder","Skier","Remotely Triggered","Facets","2'","50'","80'","East","9,400'","40.503129000000, -111.694307000000",NA,NA,NA,NA,NA,NA
"2013-02-02","Provo","Timponooke Glades","Skier","Remotely Triggered","Facets","2'","150'","500'","North","9,100'","40.430224000000, -111.657486000000",NA,NA,NA,NA,NA,NA
"2013-02-02","Salt Lake","Upper Days","Skier","Unintentionally Triggered","Facets","2.5'","50'","200'","Northwest","9,900'","40.601181000000, -111.635170000000",1,NA,NA,NA,NA,NA
"2013-02-02","Southwest","Niotche Creek","Snowmobiler","","Facets","2.5'","125'","400'","Northeast","10,400'","38.736210000000, -111.659160000000",NA,NA,NA,NA,NA,NA
